"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.233","192.168.1.255","UDP","77","44581  >  15600 Len=35"
"2","3.236909","192.168.1.117","192.168.1.255","UDP","309","34477  >  20002 Len=267"
"3","3.477977","192.168.1.217","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"4","6.041782","192.168.1.233","192.168.1.255","UDP","77","57993  >  15600 Len=35"
"5","7.282395","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.117? Tell 192.168.1.1"
"6","7.290078","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.197? Tell 192.168.1.1"
"7","8.294957","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.183? Tell 192.168.1.1"
"8","8.302912","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.184? Tell 192.168.1.1"
"9","8.305183","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.233? Tell 192.168.1.1"
"10","9.318902","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.217? Tell 192.168.1.1"
"11","9.318936","TendaTec_c1:6e:59","Technico_1d:aa:fb","ARP","42","192.168.1.217 is at c8:3a:35:c1:6e:59"
"12","11.468988","Technico_1d:aa:fb","Broadcast","ARP","60","Who has 192.168.1.119? Tell 192.168.1.1"
"13","12.031311","152.199.19.161","192.168.1.217","TCP","60","443  >  61289 [ACK] Seq=1 Ack=1 Win=133 Len=0"
"14","12.031365","192.168.1.217","152.199.19.161","TCP","54","[TCP ACKed unseen segment] 61289  >  443 [ACK] Seq=1 Ack=2 Win=514 Len=0"
"15","12.273458","192.168.1.117","192.168.1.255","UDP","309","34970  >  20002 Len=267"
"16","12.650558","192.168.1.217","20.189.173.9","TLSv1.2","254","Application Data"
"17","12.851163","20.189.173.9","192.168.1.217","TLSv1.2","108","Application Data"
"18","12.851718","192.168.1.217","20.189.173.9","TLSv1.2","1132","Application Data"
